season,year,bestgrade2,bestgrade3,bestgrade4,bestgrade5
Spring,2013,A,8,1,8
Spring,2013,A,7,1,10
Spring,2014,A,4,6,8
High school,current,B,10,3,8
Spring,2014,A,6,3,8
Spring,2013,A,3,2,10
Spring,2014,A,10,3,8
Spring,2013,A,5,3,10
Spring,2013,A,1,4,1
Spring,2013,A,3,5,10
High school,2011,B,2,2,9
Spring,2013,A,10,6,10
Spring,2014,A,10,5,9
Spring,2013,A,4,2,9
Spring,2014,A,6,2,8
Spring,2014,A,1,2,10
Spring,2013,A,1,4,6
Spring,2013,A,2,4,10
Spring,2013,B,9,2,9
Spring,2014,A,7,5,9
Spring,2014,A,10,4,1
Spring,2013,A,5,2,8
High school,2010,B,2,2,9
Spring,2014,A,9,2,9
Spring,2013,A,10,6,10
Spring,2014,A,8,4,10
Spring,2013,A,7,1,9
Spring,2014,A,8,2,10
Spring,2013,A,9,2,8
Spring,2013,C,6,4,6
Spring,2014,A,5,2,10
Spring,2013,A,1,4,1
Spring,2013,A,5,4,9
Spring,2013,A,2,1,10
Spring,2013,A,10,3,8
Spring,2013,A,5,4,8
Spring,2014,A,4,1,9
Spring,2014,A,10,1,9
Summer,2013,A,1,4,1
Spring,2014,A,6,3,9
Autumn,2014,A,1,4,1
Spring,2014,A,10,3,8
Spring,2013,A,6,5,8
Autumn,2014,B,7,2,8
Spring,2014,A,9,5,8
Spring,2013,A,2,3,9
Spring,2013,A,10,1,8
Autumn,2013,C,4,3,10
Spring,2014,A,6,5,8
Spring,2014,A,10,4,8
Autumn,2013,B,6,1,8
Spring,2013,A,4,4,9
Spring,2013,A,6,3,9
Spring,2014,A,10,1,1
Spring,2013,A,7,4,8
High school,current,A,4,1,9
Spring,2013,A,9,1,10
Spring,2013,A,6,1,10
Spring,2013,A,6,1,10
Spring,2014,A,9,3,9
Spring,2014,A,9,3,9
Spring,2013,A,5,6,8
Spring,2014,A,6,7,1
Spring,2014,A,5,3,8
Winter,2014,A,1,4,1
Spring,2013,A,7,3,10
Spring,2013,A,8,3,8
Spring,2013,A,1,1,8
Autumn,2013,B,6,1,10
Spring,2014,A,4,1,8
Spring,2013,A,4,2,8
Summer,2013,A,6,4,1
Spring,2013,A,7,5,10
Spring,2013,A,5,4,9
Spring,2014,F,4,6,8
Spring,2014,A,6,2,9
Spring,2014,A,8,1,9
Summer,2013,A,10,4,1
Spring,2014,A,10,3,8
Spring,2013,A,1,2,8
Autumn,2013,A,2,3,10
Spring,2014,A,6,1,10
Spring,2014,A,6,5,8
Spring,2014,A,6,5,9
Spring,2014,B,7,5,9
Spring,2014,B,10,4,6
Spring,2014,A,10,1,1
Spring,2014,A,8,1,9
Spring,2014,A,8,2,9
Autumn,2014,A,1,4,8
Spring,2013,A,5,2,8
Spring,2013,A,1,5,9
Spring,2013,A,7,2,9
Spring,2014,A,2,5,10
Spring,2013,A,5,3,8
Spring,2014,A,4,3,10
Autumn,2013,A,3,5,10
Spring,2014,A,8,4,8
Spring,2014,B,5,4,8
Spring,2014,A,6,3,10
Spring,2013,A,1,7,1
Spring,2014,A,4,1,8
Spring,2014,A,6,4,10
Spring,2013,A,4,4,9
High school,2011,B,3,1,10
